Countries,Indicators,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Guatemala,Current Health Expenditure (CHE),in million current US$,978,"1,197","1,318","1,420","1,565","1,733","1,992","2,169","2,448","2,408","2,542","2,829","3,031","3,059","3,407","3,735","4,009","4,396","4,478","4,765","5,020",
Guatemala,Gross Domestic Product (GDP) per Capita in US$,,"1,544","1,642","1,784","1,836","1,944","2,146","2,334","2,558","2,880","2,664","2,854","3,198","3,299","3,436","3,682","3,886","4,055","4,322","4,345","4,502","4,470",
Guatemala,Population (in thousands),,"11,736","12,009","12,290","12,571","12,852","13,133","13,412","13,697","13,979","14,259","14,543","14,833","15,128","15,423","15,714","16,001","16,291","16,579","16,850","17,106","17,363",
Guyana,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,6,
Guyana,Current Health Expenditure (CHE) per Capita in US$,,63,60,65,68,75,85,98,126,139,150,163,187,203,212,217,228,237,269,299,319,378,
Guyana,Current Health Expenditure (CHE),in million current US$,48,46,50,52,57,65,75,95,105,113,122,139,151,158,163,172,180,205,235,255,301,
Guyana,Gross Domestic Product (GDP) per Capita in US$,,"1,972","1,979","2,046","2,093","2,178","2,253","2,503","2,940","3,302","3,456","3,863","4,472","5,461","5,576","5,495","5,668","5,905","6,221","6,095","6,477","6,863",
Guyana,Population (in thousands),,759,760,760,761,760,760,758,757,754,751,748,744,744,747,751,755,759,763,786,799,797,
Haiti,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,4,4,3,4,3,3,3,4,4,4,5,6,6,4,5,5,5,4,4,4,3,
Haiti,Current Health Expenditure (CHE) per Capita in US$,,30,27,22,18,24,25,29,37,40,41,56,77,75,59,65,68,60,54,62,49,44,
Haiti,Current Health Expenditure (CHE),in million current US$,252,232,193,163,214,229,268,352,385,401,546,765,756,607,675,721,641,582,683,548,500,
Haiti,Gross Domestic Product (GDP) per Capita in US$,,755,726,648,523,697,760,832,"1,026","1,071","1,177","1,220","1,299","1,344","1,441","1,435","1,345","1,244","1,403","1,437","1,255","1,371",
Haiti,Population (in thousands),,"8,360","8,512","8,662","8,812","8,961","9,112","9,266","9,421","9,575","9,731","9,843","9,954","10,109","10,261","10,413","10,564","10,714","10,864","11,012","11,160","11,307",
Honduras,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,6,6,6,7,7,8,8,8,9,9,9,9,9,8,8,7,8,7,7,7,9,9
Honduras,Current Health Expenditure (CHE) per Capita in US$,,68,66,70,79,82,97,111,126,147,159,164,181,182,175,171,169,177,168,178,184,213,254
Honduras,Current Health Expenditure (CHE),in million current US$,450,454,491,567,608,732,858,999,"1,194","1,312","1,382","1,557","1,604","1,568","1,564","1,570","1,674","1,621","1,740","1,833","2,153","2,610"
Honduras,Gross Domestic Product (GDP) per Capita in US$,,"1,080","1,119","1,119","1,143","1,201","1,290","1,410","1,560","1,713","1,762","1,874","2,054","2,107","2,065","2,164","2,257","2,296","2,403","2,458","2,519","2,354","2,789"
Honduras,Population (in thousands),,"6,657","6,838","7,020","7,202","7,383","7,565","7,745","7,924","8,102","8,277","8,451","8,623","8,792","8,961","9,128","9,295","9,461","9,627","9,793","9,959","10,122","10,278"
Jamaica,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,6,5,5,4,5,5,4,5,6,5,5,5,5,5,5,6,6,6,6,6,7,
Jamaica,Current Health Expenditure (CHE) per Capita in US$,,195,181,175,150,183,191,187,252,284,229,256,276,262,255,258,286,286,324,334,343,326,
Jamaica,Current Health Expenditure (CHE),in million current US$,508,474,461,398,489,511,502,681,769,624,700,757,723,707,718,798,803,911,939,965,919,
Jamaica,Gross Domestic Product (GDP) per Capita in US$,,"3,447","3,502","3,684","3,557","3,819","4,200","4,436","4,738","5,056","4,452","4,836","5,260","5,365","5,144","4,992","5,078","5,023","5,273","5,594","5,626","4,926",
Jamaica,Population (in thousands),,"2,612","2,625","2,638","2,651","2,664","2,677","2,690","2,701","2,711","2,722","2,734","2,746","2,760","2,773","2,785","2,794","2,803","2,808","2,812","2,814","2,820",
Mexico,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,6,
Mexico,Current Health Expenditure (CHE) per Capita in US$,,322,367,388,414,448,486,516,560,577,497,539,571,588,631,615,558,493,515,531,553,539,
Mexico,Current Health Expenditure (CHE),in million current US$,"31,496","36,476","39,159","42,410","46,574","51,211","55,160","60,703","63,257","55,171","60,685","65,149","68,045","74,035","73,047","67,063","59,894","63,249","65,808","69,135","67,859",
Mexico,Gross Domestic Product (GDP) per Capita in US$,,"7,233","7,613","7,651","7,120","7,525","8,322","9,125","9,720","10,120","8,105","9,400","10,342","10,376","10,866","11,076","9,753","8,875","9,434","9,857","10,148","8,628",
Mexico,Population (in thousands),,"97,873","99,394","100,917","102,429","103,946","105,442","106,887","108,303","109,684","111,049","112,532","114,150","115,756","117,291","118,756","120,150","121,519","122,839","124,014","125,085","125,998",
Nicaragua,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,5,5,6,6,6,6,6,7,7,8,8,7,7,8,8,8,8,8,8,9,9,
Nicaragua,Current Health Expenditure (CHE) per Capita in US$,,52,57,57,61,65,72,78,92,107,111,115,123,131,137,153,161,167,177,168,162,161,
Nicaragua,Current Health Expenditure (CHE),in million current US$,268,294,299,324,351,393,430,516,609,638,675,728,789,839,948,"1,016","1,069","1,148","1,107","1,079","1,089",
Nicaragua,Gross Domestic Product (GDP) per Capita in US$,,997,"1,031",993,"1,000","1,076","1,159","1,223","1,324","1,494","1,438","1,496","1,645","1,746","1,795","1,914","2,025","2,079","2,127","1,982","1,892","1,868",
Nicaragua,Population (in thousands),,"5,123","5,193","5,259","5,323","5,386","5,455","5,530","5,607","5,688","5,771","5,856","5,943","6,031","6,119","6,209","6,299","6,389","6,481","6,572","6,664","6,756",
Panama,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,7,7,7,7,7,6,7,8,7,7,7,7,7,7,7,7,7,7,8,8,10,
Panama,Current Health Expenditure (CHE) per Capita in US$,,302,298,309,304,345,324,371,473,508,552,608,666,726,807,920,983,"1,057","1,128","1,228","1,318","1,215",
Panama,Current Health Expenditure (CHE),in million current US$,905,911,966,968,"1,120","1,070","1,251","1,623","1,774","1,963","2,204","2,456","2,726","3,082","3,578","3,889","4,257","4,619","5,115","5,579","5,216",
Panama,Gross Domestic Product (GDP) per Capita in US$,,"4,165","4,150","4,231","4,374","4,704","5,033","5,474","6,206","7,197","7,619","8,124","9,403","10,767","11,932","12,837","13,670","14,382","15,186","15,588","15,826","12,569",
Panama,Population (in thousands),,"3,002","3,061","3,121","3,182","3,243","3,306","3,369","3,432","3,495","3,559","3,624","3,689","3,755","3,822","3,889","3,957","4,026","4,096","4,165","4,233","4,294",
Paraguay,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,6,6,5,5,5,5,5,5,5,6,5,6,7,6,7,7,7,7,7,7,8,
Paraguay,Current Health Expenditure (CHE) per Capita in US$,,104,91,65,71,88,95,122,160,220,217,257,336,367,390,439,392,384,406,421,416,406,
Paraguay,Current Health Expenditure (CHE),in million current US$,533,476,342,377,475,519,674,896,"1,240","1,235","1,483","1,964","2,175","2,344","2,676","2,423","2,409","2,577","2,713","2,716","2,685",
Paraguay,Gross Domestic Product (GDP) per Capita in US$,,"1,728","1,630","1,361","1,437","1,777","1,961","2,427","3,194","4,360","3,920","4,703","5,773","5,621","6,436","6,629","5,861","5,759","6,136","6,243","5,805","5,353",
Paraguay,Population (in thousands),,"5,124","5,212","5,287","5,353","5,416","5,477","5,535","5,590","5,645","5,703","5,769","5,844","5,923","6,006","6,091","6,178","6,267","6,355","6,443","6,530","6,619",
Peru,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,4,5,5,5,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,6,
Peru,Current Health Expenditure (CHE) per Capita in US$,,83,89,97,97,105,123,136,158,191,208,240,263,307,320,332,310,311,333,363,367,389,
Peru,Current Health Expenditure (CHE),in million current US$,"2,225","2,410","2,665","2,685","2,929","3,464","3,856","4,524","5,498","6,045","7,023","7,752","9,143","9,622","10,071","9,529","9,696","10,528","11,704","12,032","12,940",
Peru,Gross Domestic Product (GDP) per Capita in US$,,"1,891","1,889","1,974","2,119","2,371","2,637","3,081","3,573","4,227","4,189","5,091","5,790","6,482","6,729","6,663","6,228","6,241","6,776","6,999","7,034","6,163",
Peru,Population (in thousands),,"26,654","27,015","27,335","27,623","27,894","28,147","28,381","28,600","28,806","29,009","29,230","29,478","29,750","30,039","30,354","30,712","31,133","31,605","32,204","32,825","33,305",
Saint Kitts and Nevis,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,5,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
Saint Kitts and Nevis,Current Health Expenditure (CHE) per Capita in US$,,445,438,463,480,489,554,685,703,875,866,857,907,867,925,948,"1,027","1,145","1,168","1,103","1,204","1,105",
Saint Kitts and Nevis,Current Health Expenditure (CHE),in million current US$,20,20,21,22,23,26,32,33,41,41,41,43,41,44,45,49,55,56,53,57,53,
Saint Kitts and Nevis,Gross Domestic Product (GDP) per Capita in US$,,"9,263","9,963","10,391","10,107","10,885","11,707","13,748","14,660","16,494","16,378","16,431","17,568","17,313","18,330","19,964","20,057","21,112","22,198","22,582","24,414","20,593",
Saint Kitts and Nevis,Population (in thousands),,45,46,46,46,47,47,47,47,47,47,47,48,48,48,48,48,48,48,48,48,48,
Saint Lucia,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,4,4,7,
Saint Lucia,Current Health Expenditure (CHE) per Capita in US$,,284,284,300,317,309,334,390,440,431,433,438,471,464,492,477,472,519,526,513,514,608,
Saint Lucia,Current Health Expenditure (CHE),in million current US$,45,46,48,52,51,55,65,74,73,73,75,81,80,86,83,83,92,93,91,92,109,
Saint Lucia,Gross Domestic Product (GDP) per Capita in US$,,"5,847","5,558","5,562","6,056","6,495","6,866","7,618","7,975","8,529","8,259","8,697","9,163","9,276","9,575","10,045","10,306","10,575","11,270","11,609","11,865","9,020",
Saint Lucia,Population (in thousands),,160,161,162,163,164,165,166,168,169,170,171,172,173,174,175,176,176,177,178,179,179,
Saint Vincent and the Grenadines,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,
Saint Vincent and the Grenadines,Current Health Expenditure (CHE) per Capita in US$,,150,163,175,178,189,198,211,246,258,266,284,278,301,302,301,304,318,337,348,375,402,
Saint Vincent and the Grenadines,Current Health Expenditure (CHE),in million current US$,17,18,20,20,21,22,24,27,28,29,31,30,32,32,32,32,34,36,37,39,42,
Saint Vincent and the Grenadines,Gross Domestic Product (GDP) per Capita in US$,,"3,759","4,067","4,300","4,502","4,884","5,177","5,774","6,440","6,641","6,504","6,590","6,566","6,754","7,118","7,209","7,388","7,686","8,032","8,401","8,673","8,336",
Saint Vincent and the Grenadines,Population (in thousands),,114,114,113,113,113,112,111,111,110,110,109,109,108,107,107,106,106,106,105,105,105,
Suriname,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,6,4,5,5,5,5,6,5,5,5,5,4,4,4,5,6,6,5,7,8,7,
Suriname,Current Health Expenditure (CHE) per Capita in US$,,166,92,158,168,214,243,315,311,336,383,402,378,409,438,445,517,342,325,450,593,460,
Suriname,Current Health Expenditure (CHE),in million current US$,80,45,79,85,109,126,165,164,180,207,220,209,228,247,254,298,199,191,267,356,279,
Suriname,Gross Domestic Product (GDP) per Capita in US$,,"2,829","2,394","2,974","3,432","3,917","4,636","5,387","5,956","7,085","7,685","8,566","8,576","9,554","9,770","9,850","8,908","5,705","6,113","6,731","7,032","6,786",
Suriname,Population (in thousands),,479,487,496,504,511,516,522,528,534,540,546,552,558,564,570,575,581,588,594,600,607,
Trinidad and Tobago,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,4,4,5,4,4,4,4,4,4,5,5,5,5,5,5,6,7,7,7,7,7,
Trinidad and Tobago,Current Health Expenditure (CHE) per Capita in US$,,264,270,321,355,426,524,561,658,740,764,811,858,878,952,990,"1,039","1,041","1,059","1,056","1,072","1,031",
Trinidad and Tobago,Current Health Expenditure (CHE),in million current US$,351,362,432,480,580,717,773,911,"1,031","1,071","1,144","1,218","1,257","1,372","1,437","1,517","1,530","1,566","1,589","1,629","1,565",
Trinidad and Tobago,Gross Domestic Product (GDP) per Capita in US$,,"6,226","6,694","6,797","8,469","9,897","11,811","13,509","15,841","20,242","13,931","15,970","18,161","18,024","18,945","19,055","17,252","15,227","15,677","15,831","15,715","14,091",
Trinidad and Tobago,Population (in thousands),,"1,332","1,339","1,346","1,354","1,361","1,369","1,377","1,385","1,393","1,401","1,410","1,420","1,430","1,441","1,451","1,460","1,469","1,479","1,505","1,520","1,518",
United States of America,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,12,13,14,15,15,15,15,15,15,16,16,16,16,16,16,16,17,17,17,17,19,
United States of America,Current Health Expenditure (CHE) per Capita in US$,,"4,533","4,880","5,303","5,707","6,046","6,402","6,777","7,131","7,346","7,602","7,832","8,020","8,273","8,431","8,825","9,244","9,595","9,904","10,285","10,661","11,702",
United States of America,Current Health Expenditure (CHE),in million current US$,"1,280,047","1,393,076","1,529,166","1,661,314","1,777,191","1,900,396","2,031,387","2,158,778","2,245,742","2,345,269","2,437,267","2,517,429","2,619,643","2,692,711","2,841,878","3,000,551","3,139,498","3,266,331","3,415,912","3,564,192","3,931,331",
United States of America,Gross Domestic Product (GDP) per Capita in US$,,"36,300","37,068","37,902","39,354","41,562","43,926","46,090","47,810","48,316","46,929","48,361","49,700","51,331","52,738","54,499","56,086","57,135","59,067","61,803","63,929","62,194",
United States of America,Population (in thousands),,"282,399","285,470","288,350","291,110","293,948","296,843","299,753","302,743","305,695","308,512","311,183","313,877","316,651","319,375","322,034","324,608","327,210","329,791","332,140","334,320","335,942",
Uruguay,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,9,10,10,10,8,8,8,7,8,8,8,8,8,8,8,8,9,9,9,9,9,
Uruguay,Current Health Expenditure (CHE) per Capita in US$,,694,674,433,380,372,441,496,573,803,818,"1,033","1,232","1,333","1,501","1,480","1,410","1,455","1,656","1,697","1,677","1,430",
Uruguay,Current Health Expenditure (CHE),in million current US$,"2,284","2,225","1,431","1,259","1,234","1,463","1,647","1,906","2,680","2,734","3,462","4,142","4,493","5,074","5,020","4,799","4,965","5,667","5,816","5,750","4,902",
Uruguay,Gross Domestic Product (GDP) per Capita in US$,,"7,531","6,878","4,470","3,953","4,487","5,685","6,402","7,640","9,888","10,285","13,053","15,499","16,520","18,484","18,333","17,008","16,766","18,770","18,825","17,860","15,620",
Uruguay,Population (in thousands),,"3,292","3,301","3,306","3,310","3,314","3,318","3,322","3,329","3,336","3,344","3,353","3,362","3,371","3,381","3,392","3,403","3,414","3,422","3,427","3,428","3,429",
Venezuela (Bolivarian Republic of),Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,7,8,8,8,7,6,8,8,6,8,7,7,6,6,6,4,4,5,2,2,4,
Venezuela (Bolivarian Republic of),Current Health Expenditure (CHE) per Capita in US$,,352,388,283,243,291,330,548,651,724,877,937,781,834,696,696,490,368,367,165,113,142,
Venezuela (Bolivarian Republic of),Current Health Expenditure (CHE),in million current US$,"8,591","9,645","7,169","6,270","7,627","8,810","14,859","17,930","20,226","24,857","26,902","22,716","24,588","20,773","21,000","14,966","11,304","11,206","4,932","3,281","4,059",
Venezuela (Bolivarian Republic of),Gross Domestic Product (GDP) per Capita in US$,,"4,795","4,938","3,667","3,240","4,288","5,456","6,770","8,369","11,298","11,629","13,715","10,878","12,939","12,445","12,041","11,279","9,386","8,112","6,841","5,182","3,733",
Venezuela (Bolivarian Republic of),Population (in thousands),,"24,428","24,880","25,331","25,782","26,227","26,669","27,102","27,525","27,934","28,328","28,715","29,096","29,470","29,838","30,193","30,530","30,741","30,563","29,826","28,972","28,490",
Afghanistan,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,,,9,9,10,10,11,10,10,10,9,9,8,9,10,10,12,13,14,15,16,17
Afghanistan,Current Health Expenditure (CHE) per Capita in US$,,,,17,18,21,25,29,33,40,43,47,52,53,56,60,60,61,67,71,74,80,81
Afghanistan,Current Health Expenditure (CHE),in million current US$,,,357,403,505,613,736,847,"1,056","1,185","1,313","1,532","1,603","1,776","1,969","2,027","2,130","2,385","2,617","2,804","3,129","3,261"
Afghanistan,Gross Domestic Product (GDP) per Capita in US$,,,,180,199,218,252,272,330,390,441,544,612,666,639,632,594,520,530,502,501,517,483
Afghanistan,Population (in thousands),,,,"21,000","22,645","23,554","24,411","25,443","25,903","26,427","27,385","28,190","29,249","30,466","31,541","32,716","33,753","34,636","35,643","36,687","37,769","38,972",
Bahrain,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,3,3,4,4,3,3,3,3,3,4,4,4,4,4,4,5,5,5,4,4,5,
Bahrain,Current Health Expenditure (CHE) per Capita in US$,,425,439,472,553,552,577,592,688,742,841,866,918,"1,031","1,111","1,124","1,134","1,111","1,099","1,049","1,024","1,110",
Bahrain,Current Health Expenditure (CHE),in million current US$,302,320,353,430,460,520,575,716,824,992,"1,051","1,112","1,263","1,402","1,473","1,545","1,567","1,601","1,560","1,531","1,640",
Bahrain,Gross Domestic Product (GDP) per Capita in US$,,"12,740","12,583","12,819","14,230","15,776","17,705","19,058","20,882","23,155","19,449","21,186","23,742","25,103","25,791","25,465","22,795","22,867","24,350","25,417","25,870","23,502",
Bahrain,Population (in thousands),,711,730,748,778,833,902,971,"1,041","1,110","1,179","1,214","1,212","1,225","1,262","1,311","1,362","1,410","1,457","1,487","1,494","1,477",
Djibouti,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,
Djibouti,Current Health Expenditure (CHE) per Capita in US$,,31,30,38,43,38,39,44,47,50,51,51,63,66,61,66,75,70,66,64,62,63,
Djibouti,Current Health Expenditure (CHE),in million current US$,23,23,30,35,31,32,38,41,44,46,47,59,63,60,66,75,71,68,68,67,68,
Djibouti,Gross Domestic Product (GDP) per Capita in US$,,"1,052","1,059","1,060","1,092","1,143","1,197","1,274","1,375","1,564","1,581","1,678","1,856","1,991","2,102","2,241","2,430","2,559","2,660","2,850","3,089","3,128",
Djibouti,Population (in thousands),,742,765,789,806,818,831,847,865,883,901,919,937,954,972,989,"1,006","1,023","1,040","1,057","1,074","1,090",
Egypt,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,5,5,6,5,5,5,5,4,4,4,4,4,5,5,5,5,5,6,5,5,4,
Egypt,Current Health Expenditure (CHE) per Capita in US$,,71,70,66,52,52,61,68,75,92,101,107,119,143,143,158,174,145,108,120,145,151,
Egypt,Current Health Expenditure (CHE),in million current US$,"5,070","5,127","4,879","3,920","4,000","4,823","5,485","6,177","7,741","8,654","9,373","10,588","13,025","13,315","15,123","16,957","14,496","10,992","12,472","15,348","16,217",
Egypt,Gross Domestic Product (GDP) per Capita in US$,,"1,443","1,303","1,190",988,"1,062","1,239","1,405","1,690","2,067","2,312","2,586","2,724","3,031","2,900","3,148","3,252","2,708","1,917","2,407","3,005","3,457",
Egypt,Population (in thousands),,"71,371","72,854","74,394","75,963","77,522","79,075","80,630","82,219","83,845","85,501","87,252","89,200","91,240","93,378","95,592","97,724","99,784","101,789","103,741","105,619","107,465",
Iran (Islamic Republic of),Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,7,8,8,8,6,5,
Iran (Islamic Republic of),Current Health Expenditure (CHE) per Capita in US$,,81,94,106,117,142,174,198,245,298,364,436,519,513,408,375,370,438,462,463,451,573,
Iran (Islamic Republic of),Current Health Expenditure (CHE),in million current US$,"5,306","6,287","7,117","7,944","9,819","12,198","14,097","17,719","21,813","27,086","32,873","39,610","39,703","32,037","30,008","30,262","36,461","39,059","39,615","39,006","50,053",
Iran (Islamic Republic of),Gross Domestic Product (GDP) per Capita in US$,,"1,714","1,828","2,272","2,359","2,773","3,279","3,833","4,988","5,903","5,960","6,932","8,509","8,387","7,361","5,908","5,101","5,595","5,961","6,148","7,576","10,746",
Iran (Islamic Republic of),Population (in thousands),,"65,544","66,675","67,327","67,955","69,062","70,183","71,276","72,319","73,318","74,323","75,374","76,343","77,324","78,459","79,962","81,791","83,306","84,505","85,618","86,564","87,290",
Iraq,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,,,,3,4,3,2,3,3,4,3,3,3,3,3,3,3,4,4,4,5,
Iraq,Current Health Expenditure (CHE) per Capita in US$,,,,,27,51,50,55,96,137,139,143,160,173,186,179,148,142,203,227,240,202,
Iraq,Current Health Expenditure (CHE),in million current US$,,,,722,"1,408","1,447","1,578","2,760","3,995","4,208","4,475","5,185","5,865","6,615","6,562","5,579","5,495","8,050","9,201","9,958","8,610",
Iraq,Gross Domestic Product (GDP) per Capita in US$,,,,,892,"1,315","1,741","2,254","3,100","4,504","3,686","4,430","5,737","6,437","6,613","6,386","4,699","4,327","4,846","5,586","5,629","3,979",
Iraq,Population (in thousands),,,,,"27,069","27,859","28,699","28,906","28,661","29,218","30,289","31,265","32,378","33,864","35,482","36,746","37,758","38,698","39,621","40,591","41,564","42,557",
Jordan,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,9,10,9,9,9,9,8,8,8,9,8,8,8,7,7,7,7,8,8,8,7,
Jordan,Current Health Expenditure (CHE) per Capita in US$,,161,172,175,172,186,196,200,219,290,334,320,338,343,321,307,303,287,324,322,315,299,
Jordan,Current Health Expenditure (CHE),in million current US$,815,887,925,929,"1,030","1,116","1,213","1,420","1,923","2,263","2,217","2,406","2,473","2,469","2,656","2,879","2,855","3,305","3,369","3,369","3,264",
Jordan,Gross Domestic Product (GDP) per Capita in US$,,"1,726","1,793","1,873","1,948","2,127","2,286","2,556","2,726","3,416","3,619","3,915","4,152","4,387","4,478","4,256","4,064","4,003","4,054","4,104","4,160","3,998",
Jordan,Population (in thousands),,"5,056","5,163","5,276","5,396","5,532","5,679","6,076","6,473","6,633","6,780","6,931","7,110","7,212","7,695","8,658","9,494","9,965","10,215","10,460","10,699","10,929",
Kuwait,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,2,3,3,3,2,2,2,2,2,3,3,2,2,2,3,4,5,5,5,5,6,
Kuwait,Current Health Expenditure (CHE) per Capita in US$,,430,558,582,629,651,728,783,881,"1,070","1,026","1,050","1,143","1,196","1,188","1,261","1,236","1,279","1,361","1,661","1,644","1,533",
Kuwait,Current Health Expenditure (CHE),in million current US$,831,"1,112","1,192","1,322","1,401","1,627","1,850","2,209","2,836","2,868","3,092","3,594","4,061","4,333","4,743","4,830","5,176","5,616","7,171","7,299","6,683",
Kuwait,Gross Domestic Product (GDP) per Capita in US$,,"19,495","17,511","18,625","22,766","27,602","36,148","42,971","45,730","55,596","37,906","39,212","48,998","51,271","47,763","43,240","29,315","27,027","29,259","32,012","30,666","24,298",
Kuwait,Population (in thousands),,"1,935","1,992","2,047","2,102","2,153","2,235","2,363","2,507","2,651","2,796","2,943","3,144","3,395","3,647","3,762","3,909","4,048","4,125","4,317","4,441","4,360",
Lebanon,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,11,11,9,9,8,8,9,9,8,7,7,8,7,7,8,7,8,8,8,8,8,
Lebanon,Current Health Expenditure (CHE) per Capita in US$,,427,418,393,375,370,350,404,442,466,501,572,647,595,583,577,579,648,677,745,732,994,
Lebanon,Current Health Expenditure (CHE),in million current US$,"1,843","1,834","1,749","1,690","1,693","1,623","1,907","2,125","2,276","2,481","2,860","3,265","3,083","3,313","3,618","3,703","4,053","4,138","4,434","4,230","5,632",
Lebanon,Gross Domestic Product (GDP) per Capita in US$,,"3,939","3,955","4,236","4,326","4,625","4,630","4,666","5,162","5,958","7,150","7,695","7,914","8,504","8,260","7,671","7,824","8,211","8,729","9,289","9,263","12,504",
Lebanon,Population (in thousands),,"4,321","4,389","4,447","4,505","4,575","4,643","4,720","4,810","4,888","4,951","4,996","5,045","5,178","5,679","6,274","6,399","6,259","6,109","5,951","5,782","5,663",
Libya,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,3,4,5,4,3,3,3,2,3,4,4,6,,,,,,,,,,
Libya,Current Health Expenditure (CHE) per Capita in US$,,254,262,185,192,203,211,231,270,312,343,381,313,,,,,,,,,,
Libya,Current Health Expenditure (CHE),in million current US$,"1,311","1,382","1,001","1,066","1,152","1,230","1,382","1,646","1,946","2,179","2,473","1,936",,,,,,,,,,
Libya,Gross Domestic Product (GDP) per Capita in US$,,"7,424","6,466","3,787","4,691","5,801","8,108","9,201","11,073","11,855","7,988","10,624","5,171",,,,,,,,,,
Libya,Population (in thousands),,"5,155","5,276","5,405","5,543","5,688","5,838","5,973","6,097","6,228","6,360","6,492","6,188","5,870","5,985","6,098","6,192","6,282","6,378","6,478","6,569","6,654",
Morocco,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,4,4,4,4,5,5,5,5,5,6,6,6,6,6,6,6,5,5,5,5,6,
Morocco,Current Health Expenditure (CHE) per Capita in US$,,54,56,63,78,91,97,110,132,153,165,168,179,172,180,188,163,162,166,175,177,187,
Morocco,Current Health Expenditure (CHE),in million current US$,"1,553","1,630","1,856","2,299","2,731","2,951","3,392","4,112","4,843","5,301","5,466","5,891","5,739","6,076","6,452","5,636","5,681","5,914","6,297","6,435","6,876",
Morocco,Gross Domestic Product (GDP) per Capita in US$,,"1,361","1,364","1,441","1,755","1,985","2,049","2,226","2,531","2,924","2,899","2,871","3,081","2,946","3,160","3,214","2,917","2,943","3,087","3,287","3,302","3,127",
Morocco,Population (in thousands),,"28,554","28,930","29,302","29,661","30,033","30,432","30,833","31,233","31,635","32,043","32,465","32,904","33,352","33,804","34,249","34,680","35,107","35,528","35,928","36,304","36,689",
Oman,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,3,3,3,3,3,3,2,2,2,3,3,3,3,3,4,5,5,5,4,4,5,
Oman,Current Health Expenditure (CHE) per Capita in US$,,255,253,267,282,298,320,336,392,462,508,558,540,563,590,725,766,713,704,639,728,845,
Oman,Current Health Expenditure (CHE),in million current US$,598,600,641,686,737,804,860,"1,021","1,226","1,369","1,609","1,733","1,990","2,253","2,908","3,210","3,137","3,197","2,942","3,352","3,837",
Oman,Gross Domestic Product (GDP) per Capita in US$,,"8,322","8,191","8,380","8,897","10,031","12,358","14,533","16,151","22,974","17,938","19,795","21,210","21,670","20,642","20,222","16,442","14,888","15,544","17,341","16,584","15,859",
Oman,Population (in thousands),,"2,344","2,375","2,404","2,432","2,469","2,515","2,561","2,606","2,651","2,698","2,882","3,207","3,536","3,817","4,009","4,192","4,398","4,542","4,601","4,603","4,543",
Pakistan,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,3,3,3,2,2,3,3,3,3,2,2,2,2,2,2,2,3,3,3,3,3,
Pakistan,Current Health Expenditure (CHE) per Capita in US$,,15,13,15,14,16,20,25,27,25,24,24,26,26,29,33,35,38,43,41,37,38,
Pakistan,Current Health Expenditure (CHE),in million current US$,"2,379","2,133","2,442","2,393","2,652","3,429","4,391","4,823","4,613","4,499","4,708","5,099","5,316","5,954","6,882","7,386","8,028","9,394","9,099","8,312","8,674",
